Genome	Genome_accession
MGYG000004645	CAJMLN01
MGYG000004646	CAJMSN01
MGYG000004647	CAJKAP01
MGYG000004648	CAJLPN01
MGYG000004649	CAJJIC01
MGYG000004650	CAJJNP01
MGYG000004651	GCA_009875935
MGYG000004652	GCA_009678855
MGYG000004653	CAJKCK01
MGYG000004654	CAJMPP01
MGYG000004655	CAJKRG01
MGYG000004656	CAJKLH01
MGYG000004657	CAJMLO01
MGYG000004658	GCA_008421235
MGYG000004659	CAJJMX01
MGYG000004660	CAJMNU01
MGYG000004661	CAJKBA01
MGYG000004662	CAJKEF01
MGYG000004663	CAJLOP01
MGYG000004664	CAJKBN01
MGYG000004665	CAJMNT01
MGYG000004666	GCA_009876115
MGYG000004667	GCA_009876555
MGYG000004668	CAJMOG01
MGYG000004669	CAJMSR01
MGYG000004670	CAJMNW01
MGYG000004671	CAJLPK01
MGYG000004672	CAJMLX01
MGYG000004673	CAJKHR01
MGYG000004674	CAJMTB01
MGYG000004675	CAJMMR01
MGYG000004676	CAJMSS01
MGYG000004677	CAJMRM01
MGYG000004678	GCA_009679635
MGYG000004679	CAJJJY01
MGYG000004680	CAJMPJ01
MGYG000004681	CAJLUE01
MGYG000004682	CAJMNP01
MGYG000004683	CAJLSE01
MGYG000004684	CAJMBL01
MGYG000004685	CAJLRJ01
MGYG000004686	CAJKSU01
MGYG000004687	CAJKUI01
MGYG000004688	CAJKZA01
MGYG000004689	CAJMSZ01
MGYG000004690	CAJJJW01
MGYG000004691	CAJJMO01
MGYG000004692	GCA_009875845
MGYG000004693	CAJMMS01
MGYG000004694	CAJJRW01
MGYG000004695	CAJJSW01
MGYG000004696	CAJKFS01
MGYG000004697	CAJMFH01
MGYG000004698	CAJLWK01
MGYG000004699	CAJMRW01
MGYG000004700	CAJMJZ01
MGYG000004701	CAJMRA01
MGYG000004702	CAJMQF01
MGYG000004703	CAJKQX01
MGYG000004704	CAJMRV01
MGYG000004705	CAJMMT01
MGYG000004706	CAJJLC01
MGYG000004707	CAJKEB01
MGYG000004708	CAJMQT01
MGYG000004709	CAJLTL01
MGYG000004710	CAJKYK01
MGYG000004711	CAJMSX01
MGYG000004712	CAJMPV01
MGYG000004713	CAJMQB01
MGYG000004714	CAJJSZ01
MGYG000004715	CAJMOD01
MGYG000004716	CAJJVL01
MGYG000004717	CAJJQY01
MGYG000004718	CAJMNV01
MGYG000004719	CAJKUX01
MGYG000004720	CAJKQJ01
MGYG000004721	CAJKDU01
MGYG000004722	CAJLXA01
MGYG000004723	CAJKSS01
MGYG000004724	CAJMOJ01
MGYG000004725	CAJKDY01
MGYG000004726	GCA_009718465
MGYG000004727	CAJKJS01
MGYG000004728	CAJMLT01
MGYG000004729	CAJMLL01
MGYG000004730	CAJKJT01
MGYG000004731	CAJLHO01
MGYG000004732	CAJMLV01
MGYG000004733	GCA_009883055
MGYG000004734	CAJMQN01
MGYG000004735	CAJMKO01
MGYG000004736	CAJMQO01
MGYG000004737	CADFKF01
MGYG000004738	CAJKSP01
MGYG000004739	CAJMMB01
MGYG000004740	CAJJOP01
MGYG000004741	CAJLUG01
MGYG000004742	CAJJZT01
MGYG000004743	CAJMGD01
MGYG000004744	CAJJXW01
MGYG000004745	CAJMQR01
MGYG000004746	CAJMEW01
MGYG000004747	CAJKMA01
MGYG000004748	CAJMPR01
MGYG000004749	CAJMQW01
MGYG000004750	CAJMLS01
MGYG000004751	CAJLGW01
MGYG000004752	CAJLGN01
MGYG000004753	CAJJKI01
MGYG000004754	CAJJUP01
MGYG000004755	CAJMOQ01
MGYG000004756	CAJMNH01
MGYG000004757	CAJKQZ01
MGYG000004758	CAJLPT01
MGYG000004759	CAJMQV01
MGYG000004760	CAJLRT01
MGYG000004761	CAJMKV01
MGYG000004762	CAJKGK01
MGYG000004763	CAJKOQ01
MGYG000004764	CAJLOV01
MGYG000004765	CAJMST01
MGYG000004766	CAJKPF01
MGYG000004767	CAJMMO01
MGYG000004768	CAJMMC01
MGYG000004769	GCA_009719035
MGYG000004770	CAJKIK01
MGYG000004771	CAJMQM01
MGYG000004772	CAJMPL01
MGYG000004773	CAJMMV01
MGYG000004774	CAJMQQ01
MGYG000004775	CAJMQG01
MGYG000004776	CAJLEF01
MGYG000004777	GCA_009875975
MGYG000004778	CAJMPD01
MGYG000004779	CAJJLZ01
MGYG000004780	CAJJRO01
MGYG000004781	CAJMOB01
MGYG000004782	CAJMND01
MGYG000004783	CAJJSX01
MGYG000004784	CAJKTC01
MGYG000004785	CAJMEY01
